sample	total	dup	mapped
SRR10356997	28839666	4906232	28143609	
SRR10356998	30929676	7729064	30160923	
SRR10356999	29765678	3466678	29137407	
SRR10357000	30604045	5769876	29828515	
SRR10357001	24436337	4781797	23773454	
SRR10357002	30266132	7485012	29434152	
SRR10357003	31097356	5572365	30380880	
SRR10357004	30868793	9427532	30101184	
