#plotPCA --outFileNameData
Component	SRR1930028	SRR1930029	SRR1930030	SRR1930031	Eigenvalue
1	-4.83360087780793	-18.635556267240517	45.84047848024261	-22.37132133519416	2972.4731404155277
2	3.8338485679976424	-1.6748605879635885	-0.8939813778302781	-1.2650066022037747	19.90299723897785
3	-0.1665493562833054	-1.9371775850355637	0.14891465161360828	1.95481228970526	7.623862345490488
4	4.7878367936959876e-15	-5.093148125467906e-15	-1.887379141862766e-15	1.2212453270876722e-15	2.278649634422216e-28
