sample	total	dup	mapped
SRR1914878	90414154	10799797	87964613	
SRR1914879	96456086	11404119	93485574	
SRR1914880	91316261	10286914	87821547	
SRR1914881	96953329	15468352	93673731	
SRR1914882	93289582	14656117	90420874	
SRR1914883	96767833	12175019	93748871	
