Sample	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	Bowtie 2 / HiSAT2_mqc-generalstats-bowtie_2_hisat2-overall_alignment_rate
SRR10356997	28839666	28143609	
SRR10356997.Bowtie2			97.59
SRR10356998	30929676	30160923	
SRR10356998.Bowtie2			97.51
SRR10356999	29765678	29137407	
SRR10356999.Bowtie2			97.89
SRR10357000	30604045	29828515	
SRR10357000.Bowtie2			97.47
SRR10357001	24436337	23773454	
SRR10357001.Bowtie2			97.29
SRR10357002	30266132	29434152	
SRR10357002.Bowtie2			97.25
SRR10357003	31097356	30380880	
SRR10357003.Bowtie2			97.7
SRR10357004	30868793	30101184	
SRR10357004.Bowtie2			97.51
