SRR1914886	SRR1914888	SRR1914890	SRR1914885	SRR1914887	SRR1914889
ENSMUSG00000000001.4	5405	3552	4954	4736	4727	4305
ENSMUSG00000000003.15	0	0	0	0	0	0
ENSMUSG00000000028.15	290.024860181105	220.2502243206	286.36368019661	237.093014716259	243.165314004814	241.955315376058
ENSMUSG00000000037.16	452	347	484	335	281	356
ENSMUSG00000000049.11	25	125	28	27	30	35
ENSMUSG00000000056.7	7953	5229	7539.61720850206	8312.8795960227	7282.64034210687	6715.59583524492
ENSMUSG00000000058.6	2602	1778	2361	2029	2161	1905
ENSMUSG00000000078.7	7418	4547	6103	6053	5778	4961
ENSMUSG00000000085.16	6213.91881993531	4694.26751511777	6281.39686357393	5901.32642053766	5459.16776465383	5437.05199326602
ENSMUSG00000000088.7	17746.9990658213	11955.9986132353	16355.9983134137	16260.9969483405	17130.9991439106	15427.998571407
ENSMUSG00000000093.6	316	340	388	461	362	426
ENSMUSG00000000094.12	42.0032979382885	41.0041735082033	49.0058888560797	53.0090230500441	35.0013813292207	58.0051434205919
ENSMUSG00000000103.12	0	0	0	0	4.23383117758919e-08	0
ENSMUSG00000000120.6	538.797992767834	446.894551974614	578.289863031043	571.621856802575	509.114566741972	520.492652663691
ENSMUSG00000000125.5	2457	1866	2820	2366	2261	2035
ENSMUSG00000000126.11	1252	871	1129	1018	872	796
ENSMUSG00000000127.15	2186	1494	2107	2011	2069	1814
ENSMUSG00000000131.15	17760.1066282076	13110.6174232186	17344.5052120855	15998.4173002987	14737.48780472	15205.7808601252
ENSMUSG00000000134.17	5879.38536789757	4430.70925024185	5824.63802945674	5468.26988189457	5206.69529677132	4842.66359077463
ENSMUSG00000000142.15	5697	4103	5669	6384	4932	4959
ENSMUSG00000000148.17	3764	2888	4073	3873	3563.99594989409	3420
ENSMUSG00000000149.10	18259.9782213468	12640.6909197464	17786.6865198089	17069.5440687352	17185.4102053295	16443.5469885187
ENSMUSG00000000154.16	50	40	50	48	33	42
ENSMUSG00000000157.16	22	19	29	20	11	9
ENSMUSG00000000159.16	21.0341980276308	26.3903729857928	44.0313371070613	33.4023200329351	36.3744005360427	35.728538850781
ENSMUSG00000000167.14	489.618474386237	353.481168971861	457.24533000443	405.100420769031	413.680297113999	448.474150221152
ENSMUSG00000000168.9	14746	10576	14089	13358	13523	12443
ENSMUSG00000000171.5	10293	6814	9290	9350	9842	8754
ENSMUSG00000000182.9	118	92	90	92	89	90
ENSMUSG00000000183.6	32.3587265798769	41.2592521453009	27.4983179761147	33.4293856999994	26.2934119824903	30.3872780514865
