	SRR1914886	SRR1914888	SRR1914890	SRR1914885	SRR1914887	SRR1914889
ENSMUSG00000000253.13	4491	3180	4196	4329	4377	4228
ENSMUSG00000000263.15	2773	2394	2910	3376	2619	3373
ENSMUSG00000000266.11	7652	5177	6900	7199	7601	6707
ENSMUSG00000000275.16	1060	845	1056	1284	1000	1182
ENSMUSG00000000276.11	12965	9395	13049	12184	11802	11305
ENSMUSG00000000278.10	2536	1844	2399	2626	2334	2457
ENSMUSG00000000282.12	6678	4796	6182	5835	5839	5371
ENSMUSG00000000290.13	424	297	499	528	455	432
ENSMUSG00000000295.13	2232	1476	2005	1638	1841	1560
ENSMUSG00000000296.8	3045	2138	2761	2237	2425	2073
ENSMUSG00000000301.16	384	245	324	262	296	295
ENSMUSG00000000303.12	98	49	52	201	89	45
ENSMUSG00000000305.12	6630	5127	5818	8344	8386	7715
ENSMUSG00000000308.14	30828	24839	33401	26984	24324	24489
ENSMUSG00000000317.11	185	115	186	200	140	200
ENSMUSG00000000318.16	61	53	80	56	45	43
ENSMUSG00000000320.10	189	157	188	245	178	215
ENSMUSG00000000325.16	6192	4310	6362	4973	4532	5264
ENSMUSG00000000326.13	3245	2357	3213	3128	3182	2783
ENSMUSG00000000339.14	5865	3882	5068	5645	5689	5397
ENSMUSG00000000340.10	3087	2115	2964	2995	3159	2828
ENSMUSG00000000346.9	12077	8373	11864	11896	11678	11238
ENSMUSG00000000355.13	3988	2689	3731	3433	3610	3020
ENSMUSG00000000359.3	111	104	102	102	85	99
ENSMUSG00000000365.9	150	78	162	111	122	127
ENSMUSG00000000374.8	18838	13955	18549	17665	17494	16483
ENSMUSG00000000378.15	5518	3862	5457	5175	5388	4432
ENSMUSG00000000381.10	0	1	0	0	2	3
ENSMUSG00000000384.15	4598	3474	4520	4575	4262	4147
ENSMUSG00000000385.8	10	15	7	1	10	5
ENSMUSG00000000386.15	157	113	178	149	140	157
ENSMUSG00000000392.17	45	50	72	70	48	52
ENSMUSG00000000394.15	9	8	8	2	0	0
ENSMUSG00000000399.10	13687	9640	13274	13008	12672	12061
ENSMUSG00000000402.2	714	483	659	529	468	519
ENSMUSG00000000409.14	412	281	358	233	237	240
ENSMUSG00000000411.7	43	16	28	21	30	35
ENSMUSG00000000416.16	11879	8898	13253	12042	10352	10216
ENSMUSG00000000420.15	10169	6753	9270	8800	9345	8235
ENSMUSG00000000435.1	4	2	6	7	2	7
ENSMUSG00000000439.9	6948	5136	6740	6377	6233	5874
ENSMUSG00000000440.12	60	49	73	103	83	109
ENSMUSG00000000441.17	10065	7817	10602	10755	9506	9711
ENSMUSG00000000486.13	263	246	288	271	228	248
ENSMUSG00000000489.7	1562	1433	1902	1487	1235	1312
ENSMUSG00000000530.16	880	1024	1388	1454	994	1275
ENSMUSG00000000531.5	760	639	841	720	727	704
ENSMUSG00000000532.11	17090	12876	16660	16510	15938	15444
