#plotCorrelation --outFileCorMatrix
	'SRR1930028'	'SRR1930030'	'SRR1930029'	'SRR1930031'
'SRR1930028'	1.0000	0.9991	0.9947	0.9958
'SRR1930030'	0.9991	1.0000	0.9945	0.9960
'SRR1930029'	0.9947	0.9945	1.0000	0.9957
'SRR1930031'	0.9958	0.9960	0.9957	1.0000
