	SRR1930037	SRR1930038	SRR1930039	SRR1930034	SRR1930035	SRR1930036
ENSMUSG00000000001.4	736	594	614	572	641	619
ENSMUSG00000000003.15	0	0	0	0	0	0
ENSMUSG00000000028.15	59	33	47	42	65	43
ENSMUSG00000000037.16	66	52	51	46	35	40
ENSMUSG00000000049.11	3	1	2	2	1	2
ENSMUSG00000000056.7	1446	1215	1337	1146	1320	1467
ENSMUSG00000000058.6	569	436	490	432	571	520
ENSMUSG00000000078.7	1932	1320	1548	1489	1125	1299
ENSMUSG00000000085.16	688	634	728	535	692	605
ENSMUSG00000000088.7	566	466	444	356	472	483
ENSMUSG00000000093.6	23	14	19	16	26	25
ENSMUSG00000000094.12	3	3	4	5	1	1
ENSMUSG00000000103.12	0	0	0	0	0	0
ENSMUSG00000000120.6	16	19	21	21	22	18
ENSMUSG00000000125.5	38	52	42	26	56	44
ENSMUSG00000000126.11	259	264	262	170	211	160
ENSMUSG00000000127.15	878	805	777	667	800	795
ENSMUSG00000000131.15	2344	2077	2015	1985	2078	2023
ENSMUSG00000000134.17	601	615	554	493	559	523
ENSMUSG00000000142.15	753	752	665	698	612	676
ENSMUSG00000000148.17	461	406	402	424	359	383
ENSMUSG00000000149.10	1453	1221	1135	1307	1257	1338
ENSMUSG00000000154.16	4	1	3	4	2	0
ENSMUSG00000000157.16	3	0	0	0	0	0
ENSMUSG00000000159.16	7	1	3	1	5	4
ENSMUSG00000000167.14	35	31	34	31	28	30
ENSMUSG00000000168.9	2865	2399	2577	2204	2263	2521
ENSMUSG00000000171.5	1012	735	845	767	682	730
ENSMUSG00000000182.9	4	10	12	8	5	2
ENSMUSG00000000183.6	1	0	8	5	5	4
ENSMUSG00000000184.12	748	1091	1015	583	1231	809
ENSMUSG00000000194.13	1324	1009	1127	1120	976	1077
ENSMUSG00000000197.8	4101	3439	3707	3127	3379	3528
ENSMUSG00000000202.9	264	181	150	195	157	157
ENSMUSG00000000204.16	4	5	5	3	3	1
ENSMUSG00000000214.11	15	8	6	8	6	9
ENSMUSG00000000215.11	0	0	0	0	0	0
ENSMUSG00000000216.8	12	3	5	12	9	11
ENSMUSG00000000223.13	2570	2257	2441	2250	2437	2434
ENSMUSG00000000244.17	13	17	13	13	3	15
ENSMUSG00000000247.11	927	730	698	847	801	789
ENSMUSG00000000248.16	2	6	4	1	7	1
ENSMUSG00000000253.13	412	385	376	334	369	390
ENSMUSG00000000263.15	3	4	3	4	1	2
ENSMUSG00000000266.11	765	723	778	659	857	828
ENSMUSG00000000275.16	60	54	48	39	58	56
ENSMUSG00000000276.11	2757	2220	2597	2137	2459	2337
ENSMUSG00000000278.10	244	221	228	234	231	225
ENSMUSG00000000282.12	460	544	539	460	648	618
ENSMUSG00000000290.13	86	80	48	66	56	61
ENSMUSG00000000295.13	134	105	107	94	87	105
ENSMUSG00000000296.8	234	167	193	160	147	135
ENSMUSG00000000301.16	23	21	20	18	13	14
ENSMUSG00000000303.12	76	58	79	70	43	63
ENSMUSG00000000305.12	297	265	244	325	361	355
ENSMUSG00000000308.14	4770	3810	3657	3578	3087	3456
ENSMUSG00000000317.11	31	25	35	25	19	31
ENSMUSG00000000318.16	8	4	5	7	1	3
ENSMUSG00000000320.10	35	38	42	33	37	35
ENSMUSG00000000325.16	612	696	593	550	677	794
ENSMUSG00000000326.13	745	642	671	651	667	638
ENSMUSG00000000339.14	618	481	492	528	528	550
ENSMUSG00000000340.10	405	364	318	308	364	339
ENSMUSG00000000346.9	1826	1417	1294	1435	1418	1446
ENSMUSG00000000355.13	336	277	312	288	301	319
ENSMUSG00000000359.3	4	6	5	6	5	3
ENSMUSG00000000365.9	29	27	21	22	18	12
ENSMUSG00000000374.8	3251	2603	2698	2662	2379	2679
ENSMUSG00000000378.15	566	471	423	496	516	478
ENSMUSG00000000381.10	0	0	1	1	2	1
ENSMUSG00000000384.15	284	249	262	223	247	247
ENSMUSG00000000385.8	2	2	4	2	1	0
ENSMUSG00000000386.15	32	47	49	37	41	38
ENSMUSG00000000392.17	98	87	91	69	68	80
