#plotCorrelation --outFileCorMatrix
	'SRR10356998'	'SRR10357002'	'SRR10356997'	'SRR10357001'	'SRR10357000'	'SRR10357004'	'SRR10356999'	'SRR10357003'
'SRR10356998'	1.0000	0.9996	0.9983	0.9990	0.9817	0.9771	0.9627	0.9580
'SRR10357002'	0.9996	1.0000	0.9982	0.9990	0.9817	0.9771	0.9625	0.9579
'SRR10356997'	0.9983	0.9982	1.0000	0.9988	0.9860	0.9823	0.9706	0.9667
'SRR10357001'	0.9990	0.9990	0.9988	1.0000	0.9844	0.9804	0.9674	0.9632
'SRR10357000'	0.9817	0.9817	0.9860	0.9844	1.0000	0.9906	0.9866	0.9839
'SRR10357004'	0.9771	0.9771	0.9823	0.9804	0.9906	1.0000	0.9862	0.9839
'SRR10356999'	0.9627	0.9625	0.9706	0.9674	0.9866	0.9862	1.0000	0.9868
'SRR10357003'	0.9580	0.9579	0.9667	0.9632	0.9839	0.9839	0.9868	1.0000
