#plotPCA --outFileNameData
Component	SRR1914878	SRR1914879	SRR1914880	SRR1914881	SRR1914882	SRR1914883	Eigenvalue
1	-22.90609106061602	-33.932538258814496	-25.62213042090555	27.24496686287623	27.81860811988266	27.3971847575772	4599.36863739668
2	4.6886258925952475	4.0899706190909555	-9.125515167578168	-0.3762392080705411	6.654048570587701	-5.930890706625199	201.5794823948042
3	-4.819789498187339	5.618039454455371	-1.9603011595445272	4.290885857661673	-2.79783323015374	-0.33100142423144324	84.98465292484254
4	1.8803962608766054	1.5955216673297103	-3.6415122969163622	-2.856525526211427	-2.5207639417997507	5.542883836721223	64.57974145699113
5	3.7363637799131726	-2.1010033668173578	-1.1544417783767045	4.0303761026278835	-3.5518531647474836	-0.9594415725995104	49.48748582667929
6	6.217248937900877e-15	5.551115123125783e-15	-1.609823385706477e-15	8.382183835919932e-15	-2.581268532253489e-15	7.438494264988549e-15	2.3870468914081172e-28
