#plotCorrelation --outFileCorMatrix
	'SRR1914883'	'SRR1914881'	'SRR1914882'	'SRR1914878'	'SRR1914879'	'SRR1914880'
'SRR1914883'	1.0000	0.9638	0.9636	0.8640	0.8578	0.8666
'SRR1914881'	0.9638	1.0000	0.9699	0.8735	0.8716	0.8743
'SRR1914882'	0.9636	0.9699	1.0000	0.8676	0.8651	0.8675
'SRR1914878'	0.8640	0.8735	0.8676	1.0000	0.9555	0.9560
'SRR1914879'	0.8578	0.8716	0.8651	0.9555	1.0000	0.9590
'SRR1914880'	0.8666	0.8743	0.8675	0.9560	0.9590	1.0000
