	Frag. Sampled	Frag. Len. Min.	Frag. Len. 1st. Qu.	Frag. Len. Mean	Frag. Len. Median	Frag. Len. 3rd Qu.	Frag. Len. Max	Frag. Len. Std.	Frag. Med. Abs. Dev.	Frag. Len. 10%	Frag. Len. 20%	Frag. Len. 30%	Frag. Len. 40%	Frag. Len. 60%	Frag. Len. 70%	Frag. Len. 80%	Frag. Len. 90%	Frag. Len. 99%	Reads Sampled	Read Len. Min.	Read Len. 1st. Qu.	Read Len. Mean	Read Len. Median	Read Len. 3rd Qu.	Read Len. Max	Read Len. Std.	Read Med. Abs. Dev.	Read Len. 10%	Read Len. 20%	Read Len. 30%	Read Len. 40%	Read Len. 60%	Read Len. 70%	Read Len. 80%	Read Len. 90%	Read Len. 99%
filtered_bam/SRR10356997.filtered.bam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13897105	59.0	74.0	74.58180880118557	75.0	75.0	75.0	0.7778915971381436	0.0	74.0	74.0	75.0	75.0	75.0	75.0	75.0	75.0	75.0
filtered_bam/SRR10356998.filtered.bam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14867751	61.0	74.0	74.59412536569923	75.0	75.0	75.0	0.7642354987199116	0.0	74.0	74.0	75.0	75.0	75.0	75.0	75.0	75.0	75.0
filtered_bam/SRR10356999.filtered.bam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14386054	39.0	74.0	74.56830789040552	75.0	75.0	75.0	0.7927919178566609	0.0	74.0	74.0	75.0	75.0	75.0	75.0	75.0	75.0	75.0
filtered_bam/SRR10357000.filtered.bam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14698878	51.0	74.0	74.5686439468373	75.0	75.0	75.0	0.7922146982990889	0.0	74.0	74.0	75.0	75.0	75.0	75.0	75.0	75.0	75.0
filtered_bam/SRR10357001.filtered.bam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11743302	59.0	74.0	74.58514027826246	75.0	75.0	75.0	0.7734927261188596	0.0	74.0	74.0	75.0	75.0	75.0	75.0	75.0	75.0	75.0
filtered_bam/SRR10357002.filtered.bam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14511031	60.0	74.0	74.5915665813132	75.0	75.0	75.0	0.765896461115389	0.0	74.0	74.0	75.0	75.0	75.0	75.0	75.0	75.0	75.0
filtered_bam/SRR10357003.filtered.bam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14997775	60.0	74.0	74.56824969037073	75.0	75.0	75.0	0.7931387221731583	0.0	74.0	74.0	75.0	75.0	75.0	75.0	75.0	75.0	75.0
filtered_bam/SRR10357004.filtered.bam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14845072	59.0	74.0	74.56976813585007	75.0	75.0	75.0	0.7910211512060286	0.0	74.0	74.0	75.0	75.0	75.0	75.0	75.0	75.0	75.0
